tarih,grup_id,urun_adi,fiyat
2026-02-21 22:20:28,0,Yufka Günlük 5'li,74.95
2026-02-21 22:20:28,0,Leva Çok Amaçlı Saklama Seti 6+1,99.95
2026-02-21 22:20:28,0,Cem Kuru Sele Zeytin Kg,269.95
2026-02-21 22:20:28,0,Sensodyne Hassasiyet & Çürük Karşıtı Diş Macunu 75 Ml,199.95
2026-02-21 22:20:28,0,Miss Süper İkili Soda Plus + Arap Sabunu,119.95
2026-02-21 22:20:28,0,Pesotti Kedidili 200 Gr,69.95
2026-02-21 22:20:28,0,Cam Şekerlik,99.95
2026-02-21 22:20:28,0,Cam Büyük Sunumluk,199.95
2026-02-21 22:20:28,0,Tasarım Bardak Cam İkili,199.95
2026-02-21 22:20:28,0,Cam Büyük Çerezlik,49.95
2026-02-21 22:20:28,0,Renkli Kupa Çeşitleri,69.95
2026-02-21 22:20:28,0,Bakla Taze Paket,149.95
2026-02-21 22:20:28,0,Smart Doğum Günü Mumu 24 lü,15.0
2026-02-21 22:20:28,0,Evo 3 Katlı Havlu Kağıt 6 Lı,89.95
2026-02-21 22:20:28,0,Evo 3 Katlı Tuvalet Kağıdı 16 Lı,129.95
2026-02-21 22:20:28,0,Gondol Kat Kat Beslenme Kutusu,199.95
2026-02-21 22:20:28,0,Su Geçirmez Yağmurluk Kadın-Erkek,99.95
2026-02-21 22:20:28,0,Orkide Ayçiçek Yağı 5 L Pet,449.95
2026-02-21 22:20:28,0,Evmoni Kılıflı Sıcak Su Torbası 2 Lt,99.95
2026-02-21 22:20:28,1,Namet Dana Jambon 7/24 50 Gr,71.95
2026-02-21 22:20:28,3,Yumoş Sakura Ev ve Tekstil Spreyi 450 Ml,144.95
2026-02-21 22:20:28,3,Dalan Family Zeytin Mucizesi Sıvı Sabun 400 Ml,39.95
2026-02-21 22:20:28,3,Nescafe Xpress Black Roast Soğuk Kahve 250 Ml,64.95
2026-02-21 22:20:28,3,Nescafe Crema Latte Kahve 17 Gr,14.5
2026-02-21 22:20:28,3,Vivident 45 Dakika Cüzdan Nane Sakız 26 Gr,47.5
2026-02-21 22:20:28,3,Lipton Form Plus Kayısılı Çay 20'li,89.95
2026-02-21 22:20:28,3,CM 9W 6500K E27 Beyaz Led Ampul,39.95
2026-02-21 22:20:28,3,Peros Soft Mavi Orkide Lilyum Konsantre Çamaşır Yumuşatıcı 1440 Ml,149.95
2026-02-21 22:20:28,3,Ülker Çilekli Mini Kekstra 150 Gr,54.95
2026-02-21 22:20:28,3,Colgate Plax Nane Ferahlığı Ağız Bakım Suyu 250 Ml,149.95
2026-02-21 22:20:28,3,Duru Kolajen & Zeytinyağı Şampuan 500 Ml,69.95
2026-02-21 22:20:28,17,Dr.Oetker Çikolatalı Antep Fıstıklı Puding 100 Gr,45.95
2026-02-21 22:20:28,17,Dr.Oetker Çikolatalı Muffin 345 Gr,153.45
2026-02-21 22:20:28,17,Kinder Süt Dilimi 4'lü,74.95
2026-02-21 22:20:28,23,Ülker Halley Muzlu Pasta Tadında Sandviç Bisküvi 210 Gr,94.95
2026-02-21 22:20:28,23,Ülker Halley Karadutlu Sandviç Bisküvi 236 G,94.95
2026-02-21 22:20:28,23,Ülker Halley Çikolata Kaplamalı Sandviç Bisküvi 8'li 240 G,94.95
2026-02-21 22:20:28,24,Semiz Otu Demet,69.95
2026-02-21 22:20:28,24,Elma Fuji Kg,169.9
2026-02-21 22:20:28,24,Şenpiliç Kemiksiz Derisiz İncik (Izgara Tava) Kg,269.0
2026-02-21 22:20:28,24,Patlıcan Kg,129.9
2026-02-21 22:20:28,24,Domates Sırık Kg,67.9
2026-02-21 22:20:28,24,Çilek Kg,319.95
2026-02-21 22:20:28,24,Kabak Kg,139.95
2026-02-21 22:20:28,24,Elma Golden Kg,129.9
2026-02-21 22:20:28,24,Biber Tatlı Kg,89.9
2026-02-21 22:20:28,24,Dana Sotelik Kg,975.0
2026-02-21 22:20:28,26,Ülker Kremalı Sandviç Bisküvi 8'li 488 Gr,94.5
2026-02-21 22:20:28,26,Mutlu Tel Şehriye 500 Gr,24.95
2026-02-21 22:20:28,26,Mutlu Arpa Şehriye 500 Gr,24.95
2026-02-21 22:20:28,26,Sera Nergis Kokulu Büzgülü Orta Boy Çöp Poşeti Torbası 15 Li,49.95
2026-02-21 22:20:28,26,Jacobs 2 Si 1 Arada Paket 10 Lu,94.95
2026-02-21 22:20:28,26,Sera Nergis Kokulu Büzgülü Büyük Boy Çöp Poşeti Torbası 10 Lu,49.95
2026-02-21 22:20:28,26,Sera Vanilya Kokulu Büzgülü Büyük Boy Çöp Poşeti Torbası 10 Lu,54.95
2026-02-21 22:20:28,26,Hasata Mardin Kırmızı Mercimek 1 Kg,149.95
2026-02-21 22:20:28,26,Hasata Köftelik Antep Bulguru 1 Kg,59.95
2026-02-21 22:20:28,26,Hasata Pilavlık Antep Bulguru 1 Kg,59.95
2026-02-21 22:20:28,26,Hasata Osmancık Pirinç 2 Kg,279.95
2026-02-21 22:20:28,26,Vindex Fast Mikrofiber Temizlik Bezi 5 Li,79.99
2026-02-21 22:20:28,26,Gürsüt Yayık Tereyağ Kg,699.95
2026-02-21 22:20:28,26,Gürsüt Süzme Yoğurt Kg,149.95
2026-02-21 22:20:28,26,Teksüt Lor 500 Gr,59.95
2026-02-21 22:20:28,26,Asperox Temizliğin Kokusu Yüzey Temizleyici 2.5 Lt,129.95
2026-02-21 22:20:28,26,Asperox Manolya - Frezya Yüzey Temizleyici 2.5 Lt,129.95
2026-02-21 22:20:28,26,Eti Cicibebe Bebek Bisküvisi 700 Gr,149.95
2026-02-21 22:20:28,26,Sera Vanilya Kokulu Orta Boy Büzgülü Çöp Poşeti Torbası 15 Li,54.95
2026-02-21 22:20:28,26,Tellioğlu Çok Amaçlı Un 5 Kg,159.95
2026-02-21 22:20:28,26,Familia Natural 1=3 Jumbo Kağıt Havlu,79.95
2026-02-21 22:20:28,26,Peros Soft Yasemin Neroli Çiçeği Konsantre Çamaşır Yumuşatıcı 1440 Ml,149.95
2026-02-21 22:20:28,26,Sarı Efe Çiftliği Gezen Tavuk Yumurtası 10 Lu,99.95
