Category,Subcategory,Name,Brand,SKU,Price,RegularPrice,DiscountRate,UnitPrice,Status,Date
Meyve & Sebze,Sebze,Organik Soğan Kg,Reyondan,28051007,99.95,99.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Patates Kg,Reyondan,28360010,99.95,99.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Tazedirekt Organik Pancar Kg,Tazedirekt,28130086,139.95,139.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Tazedirekt Organik Soğan Kuru Kg,Tazedirekt,28130089,69.95,69.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Havuç,Reyondan,28120022,199.95,199.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Yeşillikler,Organik Roka Demet,Reyondan,28345011,79.95,79.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Tazedirekt Organik Kızartmalık Patates Kg,Tazedirekt,28130102,69.95,69.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Tazedirekt Organik Avokado Adet,Tazedirekt,27130039,129.95,129.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Tazedirekt Organik Kivi Kg,Tazedirekt,27130066,199.95,199.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Karnabahar Kg,Reyondan,28303012,269.95,269.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Kereviz Kg,Reyondan,28190011,229.95,229.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Yeşillikler,Organik Lahana Kırmızı,Reyondan,28253026,196.95,196.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Yeşillikler,Organik Pırasa Kg,Reyondan,28370003,319.95,319.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Tasconi Organik Yemeye Hazır Kuru Domates 100 G,Tasconi,28089178,129.95,129.95,0,"(1299,50 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Organik Portakal Washington,Reyondan,27300401,249.95,249.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Mor Soğan Kg,Reyondan,28410011,139.95,139.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Tazedirekt Organik Kan Greyfurt Kg,Tazedirekt,27130055,189.95,189.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Pancar Kg,Reyondan,28310018,199.95,199.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Lahana Beyaz Kg,Reyondan,28210007,124.95,124.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Muz İthal Kg,Reyondan,27272027,149.95,149.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Limon Kg,Reyondan,27268053,119.95,119.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Finike Portakalı  Kg,Reyondan,27307083,89.95,89.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Avokado 2'li Paket Excelente Yemeye Hazır,Excelente,28015911,159.95,159.95,0,"(79,97 TL/Adet)",IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Verita Gurme Yemeye Hazır Avokado Adet,Verita,28015909,129.95,129.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Mandalina Murcot Kg,Reyondan,27287070,69.95,69.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Verita Yaban Mersini Blueberry 125 Gr,Verita,27585017,269.95,269.95,0,"(2159,60 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Avokado Adet,Reyondan,28010021,89.95,89.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Elma Starking  Kg,Reyondan,27139275,159.95,159.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Elma Fuji Kg,Reyondan,27139269,159.95,159.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Elma Granny Smith Kg,Reyondan,27139272,169.95,169.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Armut Santa Maria Kg,Reyondan,27028283,149.95,149.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Kivi Kg,Reyondan,27251241,179.95,179.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Excelente Lime 3'lü Paket 195 G,Excelente,27560003,79.95,79.95,0,"(410,00 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Armut Deveci Kg,Reyondan,27028281,149.95,149.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Portakal Sıkma Lüx Kg,Reyondan,27307066,79.95,79.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Çilek Kg,Reyondan,27084040,369.95,369.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Excelente Ananas Gold Adet,Excelente,27400003,169.95,169.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Üzüm Beyaz İthal 500 G Paket Ad,Reyondan,27338086,149.95,149.95,0,"(299,90 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Ayva Kg,Reyondan,27030116,249.95,249.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Tazedirekt Golden Elma Kg,Tazedirekt,27020016,119.95,119.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Greyfurt Kan Kg,Reyondan,27169025,59.95,59.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Verita Ananas Adet,Verita,27502032,199.95,199.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Nar Kg,Reyondan,27290080,179.95,179.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Elma Gala Kg,Reyondan,27139270,149.95,149.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Aydın Kestanesi Coğrafi İşaretli Kg,Reyondan,27223034,489.95,489.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Verita Taze Dilimlenmiş Mango 125 Gr,Verita,27501009,199.95,199.95,0,"(1599,60 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Excelente Demirhindi Paket 225 G,Excelente,27570004,159.95,159.95,0,"(710,88 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Verita Yer Kirazı (Altın Çilek) 100 G,Verita,27540051,169.95,169.95,0,"(1699,50 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Erik Angelika Kg,Reyondan,27119077,249.95,249.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Erüst Çilek 200 Gr Paket Adet,Erüst,27084045,129.95,129.95,0,"(649,75 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Verita Demirhindi 225 Gr,Verita,27550004,239.95,239.95,0,"(1066,44 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Elma Golden  Kg.,Reyondan,27139271,169.95,169.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Verita Yemeye Hazır Mango Adet,Verita,27585018,179.95,179.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Excelente Hindistan Cevizi Adet,Excelente,27400002,64.95,64.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Verita Taze Hindistan Cevizi Adet,Verita,27520001,169.95,169.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Yeşillikler,Havuç Kg,Reyondan,28129048,59.95,59.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Yeşillikler,Erüst Yedikule Mini 4'lü Paket,Erüst,28120021,174.95,174.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Yeşillikler,Erüst Ispanak Mini 150 G,Erüst,28140005,174.95,174.95,0,"(1166,33 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Yeşillikler,Tazedirekt Turp Vezir Kg.,Tazedirekt,28060053,72.95,72.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Yeşillikler,Eurofresh Yıkanmış Hazır Ispanak 700G,Eurofresh,28379700,109.95,109.95,0,"(157,07 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Soğan Kg,Reyondan,28051007,99.95,99.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Patates Kg,Reyondan,28360010,99.95,99.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Tazedirekt Organik Pancar Kg,Tazedirekt,28130086,139.95,139.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Tazedirekt Organik Soğan Kuru Kg,Tazedirekt,28130089,69.95,69.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Havuç,Reyondan,28120022,199.95,199.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Yeşillikler,Organik Roka Demet,Reyondan,28345011,79.95,79.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Tazedirekt Organik Kızartmalık Patates Kg,Tazedirekt,28130102,69.95,69.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Tazedirekt Organik Avokado Adet,Tazedirekt,27130039,129.95,129.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Tazedirekt Organik Kivi Kg,Tazedirekt,27130066,199.95,199.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Karnabahar Kg,Reyondan,28303012,269.95,269.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Kereviz Kg,Reyondan,28190011,229.95,229.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Yeşillikler,Organik Lahana Kırmızı,Reyondan,28253026,196.95,196.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Yeşillikler,Organik Pırasa Kg,Reyondan,28370003,319.95,319.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Tasconi Organik Yemeye Hazır Kuru Domates 100 G,Tasconi,28089178,129.95,129.95,0,"(1299,50 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Organik Portakal Washington,Reyondan,27300401,249.95,249.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Mor Soğan Kg,Reyondan,28410011,139.95,139.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Tazedirekt Organik Kan Greyfurt Kg,Tazedirekt,27130055,189.95,189.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Pancar Kg,Reyondan,28310018,199.95,199.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Sebze,Organik Lahana Beyaz Kg,Reyondan,28210007,124.95,124.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Muz İthal Kg,Reyondan,27272027,149.95,149.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Limon Kg,Reyondan,27268053,119.95,119.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Finike Portakalı  Kg,Reyondan,27307083,89.95,89.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Avokado 2'li Paket Excelente Yemeye Hazır,Excelente,28015911,159.95,159.95,0,"(79,97 TL/Adet)",IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Verita Gurme Yemeye Hazır Avokado Adet,Verita,28015909,129.95,129.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Mandalina Murcot Kg,Reyondan,27287070,69.95,69.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Verita Yaban Mersini Blueberry 125 Gr,Verita,27585017,269.95,269.95,0,"(2159,60 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Avokado Adet,Reyondan,28010021,89.95,89.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Elma Starking  Kg,Reyondan,27139275,159.95,159.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Elma Fuji Kg,Reyondan,27139269,159.95,159.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Elma Granny Smith Kg,Reyondan,27139272,169.95,169.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Armut Santa Maria Kg,Reyondan,27028283,149.95,149.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Kivi Kg,Reyondan,27251241,179.95,179.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Excelente Lime 3'lü Paket 195 G,Excelente,27560003,79.95,79.95,0,"(410,00 TL/Kg)",IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Armut Deveci Kg,Reyondan,27028281,149.95,149.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Portakal Sıkma Lüx Kg,Reyondan,27307066,79.95,79.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Çilek Kg,Reyondan,27084040,369.95,369.95,0,,IN_SALE,2026-02-25
Meyve & Sebze,Meyve,Excelente Ananas Gold Adet,Excelente,27400003,169.95,169.95,0,,IN_SALE,2026-02-25
