name,price,url,scraped_at
"Billur Tuz 1,5kg Iyotlu Sofra Tuzu",69.9,https://www.ideal.com.tr/urun/billur-tuz-15kg-iyotlu-sofra-tuzu/37259 ,2026-02-20T13:44:46.932929
Billur Tuz 500gr Iyotlu Plastik Tuzluklu,47.9,https://www.ideal.com.tr/urun/billur-tuz-500gr-iyotlu-plastik-tuzluklu/1470 ,2026-02-20T13:44:46.932987
Billur Tuz 750gr Deniz Tuzu Gümüş,34.9,https://www.ideal.com.tr/urun/billur-tuz-750gr-deniz-tuzu-gumus/1468 ,2026-02-20T13:44:46.933028
Damak Acı Pul Biber 40gr Extra,94.9,https://www.ideal.com.tr/urun/damak-aci-pul-biber-40gr-extra/68171 ,2026-02-20T13:44:46.933065
Damak Himalaya Tuzu 110gr,89.9,https://www.ideal.com.tr/urun/damak-himalaya-tuzu-110gr/68169 ,2026-02-20T13:44:46.933102
Damak Et Çeşnisi 45gr,99.9,https://www.ideal.com.tr/urun/damak-et-cesnisi-45gr/68163 ,2026-02-20T13:44:46.933136
Damak Pasta Süsü 40gr Boncuk Mix,42.9,https://www.ideal.com.tr/urun/damak-pasta-susu-40gr-boncuk-mix/68157 ,2026-02-20T13:44:46.933171
Damak Pasta Süsü Damla Çikolata 40gr,42.9,https://www.ideal.com.tr/urun/damak-pasta-susu-damla-cikolata-40gr/68156 ,2026-02-20T13:44:46.933204
Damak Yer Fıstığı  25gr Helvalık,39.9,https://www.ideal.com.tr/urun/damak-yer-fistigi-25gr-helvalik/62369 ,2026-02-20T13:44:46.933236
Kenton Karbonat 40gr,8.9,https://www.ideal.com.tr/urun/kenton-karbonat-40gr/62066 ,2026-02-20T13:44:46.933269
Kenton Karbonat 5li,9.9,https://www.ideal.com.tr/urun/kenton-karbonat-5li/60981 ,2026-02-20T13:44:46.933301
Billur Tuz 500gr Himalaya Doypack,99.9,https://www.ideal.com.tr/urun/billur-tuz-500gr-himalaya-doypack/59342 ,2026-02-20T13:44:46.933334
Damak Çıtır Pane Harcı 70gr,39.9,https://www.ideal.com.tr/urun/damak-citir-pane-harci-70gr/55712 ,2026-02-20T13:44:46.933367
Damak Tavuk Harcı 70gr,46.9,https://www.ideal.com.tr/urun/damak-tavuk-harci-70gr/55711 ,2026-02-20T13:44:46.933399
Damak Köfte Harcı 80gr,39.9,https://www.ideal.com.tr/urun/damak-kofte-harci-80gr/55710 ,2026-02-20T13:44:46.933432
Damak Sebzeli Baharat Çeşni 125gr,56.9,https://www.ideal.com.tr/urun/damak-sebzeli-baharat-cesni-125gr/55708 ,2026-02-20T13:44:46.933465
Damak Tavuk Baharat Çeşni 75gr,59.9,https://www.ideal.com.tr/urun/damak-tavuk-baharat-cesni-75gr/55706 ,2026-02-20T13:44:46.933497
Damak Antep Fıstığı Toz 30gr,199.9,https://www.ideal.com.tr/urun/damak-antep-fistigi-toz-30gr/55704 ,2026-02-20T13:44:46.933531
Damak Kahvaltılık Poy 46gr,46.9,https://www.ideal.com.tr/urun/damak-kahvaltilik-poy-46gr/55703 ,2026-02-20T13:44:46.933563
Damak Zerdeçal 70gr,52.9,https://www.ideal.com.tr/urun/damak-zerdecal-70gr/55702 ,2026-02-20T13:44:46.933594
Damak Kişniş 40gr,23.9,https://www.ideal.com.tr/urun/damak-kisnis-40gr/55701 ,2026-02-20T13:44:46.933626
Damak Köri 70gr,53.9,https://www.ideal.com.tr/urun/damak-kori-70gr/55700 ,2026-02-20T13:44:46.933658
Damak Sarımsak Tozu 40gr,44.9,https://www.ideal.com.tr/urun/damak-sarimsak-tozu-40gr/55699 ,2026-02-20T13:44:46.933689
Damak Kuş Üzümü 40gr,66.9,https://www.ideal.com.tr/urun/damak-kus-uzumu-40gr/55698 ,2026-02-20T13:44:46.933721
Damak Yeni Bahar 30gr,73.9,https://www.ideal.com.tr/urun/damak-yeni-bahar-30gr/55697 ,2026-02-20T13:44:46.933753
Damak Dolma Fıstığı 23gr,223.9,https://www.ideal.com.tr/urun/damak-dolma-fistigi-23gr/55696 ,2026-02-20T13:44:46.933786
Damak Köfte Bahar 65gr,49.9,https://www.ideal.com.tr/urun/damak-kofte-bahar-65gr/55695 ,2026-02-20T13:44:46.933819
Damak Dolma Bahar 40gr,35.9,https://www.ideal.com.tr/urun/damak-dolma-bahar-40gr/55694 ,2026-02-20T13:44:46.933851
Damak Karanfil 15gr,45.9,https://www.ideal.com.tr/urun/damak-karanfil-15gr/55693 ,2026-02-20T13:44:46.933884
Damak Karbonat 150gr,29.9,https://www.ideal.com.tr/urun/damak-karbonat-150gr/55691 ,2026-02-20T13:44:46.933915
Damak Fesleğen 30gr,28.9,https://www.ideal.com.tr/urun/damak-feslegen-30gr/55689 ,2026-02-20T13:44:46.933947
Damak Defne Yaprağı 6gr,26.9,https://www.ideal.com.tr/urun/damak-defne-yapragi-6gr/55688 ,2026-02-20T13:44:46.933981
Damak Kabuk Tarçın 40gr,59.9,https://www.ideal.com.tr/urun/damak-kabuk-tarcin-40gr/55686 ,2026-02-20T13:44:46.934013
Damak Tane Karabiber 40gr,63.9,https://www.ideal.com.tr/urun/damak-tane-karabiber-40gr/55685 ,2026-02-20T13:44:46.934054
Damak Isot 80gr,66.9,https://www.ideal.com.tr/urun/damak-isot-80gr/55684 ,2026-02-20T13:44:46.934086
Damak Toz Zencefil 60gr,58.9,https://www.ideal.com.tr/urun/damak-toz-zencefil-60gr/55683 ,2026-02-20T13:44:46.934118
Damak Sumak 80gr,79.9,https://www.ideal.com.tr/urun/damak-sumak-80gr/55682 ,2026-02-20T13:44:46.934149
Damak Acı Biber 75gr,59.9,https://www.ideal.com.tr/urun/damak-aci-biber-75gr/55680 ,2026-02-20T13:44:46.934181
Damak Tatlı Biber 75gr,65.9,https://www.ideal.com.tr/urun/damak-tatli-biber-75gr/55679 ,2026-02-20T13:44:46.934213
Damak Tarçın 45gr,45.9,https://www.ideal.com.tr/urun/damak-tarcin-45gr/55678 ,2026-02-20T13:44:46.934243
Damak Susam 75gr,44.9,https://www.ideal.com.tr/urun/damak-susam-75gr/55677 ,2026-02-20T13:44:46.934275
Damak Çörek Otu 75gr,59.9,https://www.ideal.com.tr/urun/damak-corek-otu-75gr/55676 ,2026-02-20T13:44:46.934307
Damak Kimyon 75gr,66.9,https://www.ideal.com.tr/urun/damak-kimyon-75gr/55675 ,2026-02-20T13:44:46.934339
Damak Hindistan Cevizi 50gr,53.9,https://www.ideal.com.tr/urun/damak-hindistan-cevizi-50gr/55674 ,2026-02-20T13:44:46.934371
Damak Kekik 20gr,49.9,https://www.ideal.com.tr/urun/damak-kekik-20gr/55673 ,2026-02-20T13:44:46.934403
Damak Nane 30gr,29.9,https://www.ideal.com.tr/urun/damak-nane-30gr/55672 ,2026-02-20T13:44:46.934436
Damak Mavi Haşhaş 80gr,58.9,https://www.ideal.com.tr/urun/damak-mavi-hashas-80gr/55671 ,2026-02-20T13:44:46.934468
Damak Limon Tuzu 275gr Kilitli Eko Poşet,95.9,https://www.ideal.com.tr/urun/damak-limon-tuzu-275gr-kilitli-eko-poset/55660 ,2026-02-20T13:44:46.934500
Damak Hindistan Cevizi 160gr Eko Boy,144.9,https://www.ideal.com.tr/urun/damak-hindistan-cevizi-160gr-eko-boy/55659 ,2026-02-20T13:44:46.934533
Damak Pul Biber Eko Boy 210gr,147.9,https://www.ideal.com.tr/urun/damak-pul-biber-eko-boy-210gr/55657 ,2026-02-20T13:44:46.934569
